,,,,,,,,,,,,,,,,
International travel estimates by country of residence(a),,,,,,,,,,,,,,,,
Year ending December,,,,,,,,,,,,,,,,
,Trips ('000),,Change,,Nights ('000),,Change,,Spend in Australia ($M),,Change,,Total trip spend ($M),,Change,
Philippines,164.28352908130665,179.34597899899848,15.062449917691822,9.168569729371455,10856.816549749406,10901.430207394069,44.61365764466245,0.41092761805663347,601.4127089351982,607.6964371040084,6.283728168810171,1.044827965131545,814.1957348878578,803.5081120901515,-10.687622797706354,-1.3126601306967522
Korea,342.2803033536034,362.55062999766324,20.27032664405982,5.922142304261935,11037.52989147439,9377.054784813457,-1660.4751066609333,-15.04390133469552,1571.1471762711303,1444.6211700160009,-126.52600625512946,-8.053097008735932,2198.1056556925346,2079.753645908162,-118.35200978437251,-5.38427302062896
China,828.9973040036068,974.3864629991845,145.38915899557765,17.537953174687892,45058.42238505741,53413.94706427325,8355.524679215836,18.54375771928214,8065.022854880947,11246.265637913555,3181.242783032608,39.44493202653878,9774.208235321219,13157.903130826486,3383.6948955052667,34.618608628344475
India,420.9801030402615,429.1699619970454,8.189858956783894,1.9454266122407748,28826.906913500585,28355.19880986184,-471.70810363874625,-1.6363465738942318,1660.1932336358173,1834.793626784171,174.60039314835376,10.51687174787357,2597.199129203658,2544.8613551525796,-52.33777405107821,-2.0151621592113256
Other Asia,203.534075775166,217.1640540019109,13.629978226744896,6.696656653110633,14531.566652769085,15965.196279056107,1433.629626287022,9.865623305067617,1197.5181197793854,1282.446459882032,84.92834010264664,7.092029648644704,1600.9830750024435,1634.8358195977667,33.8527445953232,2.114497343781818
United States of America,668.7997735290069,696.9480019964765,28.148228467469607,4.20876764340723,12063.174847824885,12103.839824235994,40.66497641110982,0.33710011604815016,1992.5987268103563,2396.429403062027,403.83067625167087,20.266532885831,4348.202542965158,4616.710438933619,268.5078959684615,6.175146932906173
Canada,154.27016308703682,160.76170400051086,6.49154091347404,4.207904356600456,4505.852440907331,5100.668375661906,594.8159347545752,13.200963470406023,554.5181322574433,664.6326002894209,110.1144680319776,19.857685732241357,997.3415596087132,1135.7709012071834,138.42934159847027,13.879832868168073
United Kingdom,604.6774075343387,720.9105369958464,116.2331294615077,19.22233706985439,21857.97644382811,28128.263894351796,6270.287450523687,28.686495598700247,2195.097377333315,2870.209724292055,675.1123469587401,30.75546232845905,4231.197045872788,5264.25693927855,1033.0598934057616,24.415310424113514
Germany,159.30959268321652,169.41190599993777,10.10231331672125,6.34130886067199,6213.7034428824345,5741.176603642564,-472.52683923987024,-7.604592713241443,612.2991916551249,685.2432655544712,72.94407389934634,11.913142282969357,1104.517594866876,1201.233326161995,96.71573129511899,8.756377602728538
Scandinavia,82.33287128946833,86.4120220004283,4.079150710959965,4.9544618656846895,3346.1564759372795,3066.4497320536375,-279.70674388364205,-8.35904554658623,312.208117235782,375.3360175793143,63.12790034353225,20.21981391850154,535.969470187998,638.3785048487849,102.40903466078692,19.107251505363855
France,121.83526398598754,138.58393900015014,16.7486750141626,13.746984630073023,9324.329034227036,11342.263620223848,2017.9345859968125,21.64160636748802,680.4456194788378,924.5004279134165,244.05480843457872,35.86690860343895,1016.9147748095988,1326.517302493265,309.60252768366627,30.445277751189572
Italy,63.485331692728785,74.2171120004787,10.731780307749922,16.904346282212266,4993.805417349299,5006.720202947706,12.914785598406525,0.25861611574888865,348.36590702939327,401.3867894765584,53.02088244716515,15.219882708755295,517.916517417025,615.5574227077153,97.64090529069028,18.852633968433572
Netherlands,48.31763459552902,51.9778069986839,3.6601724031548812,7.575230935443122,1711.3164440779426,1703.3839958279514,-7.932448249991239,-0.46352901460403606,194.00319256846572,214.88007817124023,20.876885602774507,10.76110414801903,347.93260260334455,376.40189136158585,28.469288758241305,8.182414796781012
Switzerland,40.645564295289155,43.567777000149064,2.922212704859909,7.189499655190157,1366.1944052612305,1552.0007431605159,185.80633789928538,13.600285375473863,199.42668259088168,261.5400047409451,62.113322150063425,31.145943633574436,326.41072121674694,404.88998389917197,78.47926268242503,24.04310201266715
Other Europe,256.7429451645949,292.18735700261414,35.44441183801922,13.805408290886522,13897.784143632643,13050.659119929393,-847.1250237032509,-6.095396323243129,1159.365808216646,1409.5395490731078,250.1737408564618,21.57849913145902,1966.0778560809656,2234.553024322939,268.4751682419735,13.655368092957021
Other Countries,507.73086613585804,541.3761789939542,33.64531285809619,6.6266037978265135,29818.234866447972,26874.542262954947,-2943.6926034930257,-9.872122265712392,2230.381335567956,2269.8108162771045,39.42948070914872,1.7678358440489816,3295.654048566051,3331.19076318235,35.53671461629892,1.0782901995360028
Total,7633.9558548505765,8272.330584988007,638.3747301374306,8.3623057596254,294995.1724452119,312676.586362552,17681.413917340105,5.993797719053862,32910.51129880684,39191.34598260499,6280.834683798144,19.084585550106148,48872.55692907296,55673.275948049624,6800.7190189766625,13.915210184002259
,,,,,,,,,,,,,,,,
(a) Estimates are for international visitors aged 15 years and over,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Source: Tourism Research Australia: International Visitors Survey,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Back to content page,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
